,cluster,kingdom
3362,7176,Eukaryota
5603,7189,Eukaryota
6459,7193,
2818,7212,Bacteria
1087,7237,Eukaryota
6505,7245,Eukaryota
2539,7276,
1139,7287,Eukaryota
5445,7327,Eukaryota
5630,7340,Eukaryota
4140,7356,
3037,7370,Eukaryota
176,7372,Eukaryota
3741,7382,Bacteria
1334,7386,Bacteria
1373,7390,Eukaryota
2096,7403,Eukaryota
4053,7404,Eukaryota
463,7438,Bacteria
3048,7446,Eukaryota
6553,7482,Bacteria
2218,7496,Eukaryota
3542,7500,Eukaryota
4653,7502,Eukaryota
1625,7503,Eukaryota
1082,7510,Bacteria
1851,7513,Bacteria
5613,7527,Eukaryota
5968,7533,Bacteria
2489,7543,Eukaryota
3281,7546,Eukaryota
6616,7553,Eukaryota
5080,7558,Eukaryota
