sample_name,uploader,upload_date,runtime_seconds,overall_job_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CMS_003_RNA_A_S2,,2018-03-25 21:38:09 -0700,7523.0,COMPLETE,27436684,400340,1.459,90.187,2.18,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_Anphevirus-CulexMononegaLike1-CulexMononegaLike2-OtherDivergentMonegaviruses_Acinobacter-Gilliamella-Anaplasma_Trichinella:PlasmodiumOvale_FarmAnimals-Homo?
CMS_004_RNA_A_S2,,2018-04-15 09:23:02 -0700,7209.0,COMPLETE,35584846,56994,0.16,69.895,2.26,Insect engorged abdomen,RNA,37.715200_-122.194310,Mosquito,Culex pipiens_09/12/17_San Leandro Sewer_
CMS_005_RNA_A_S3,,2018-03-25 21:38:10 -0700,7546.0,COMPLETE,36030436,658158,1.827,90.315,2.36,Insect engorged abdomen,RNA,37.788860_-122.299030,Mosquito,Culex incidens_09/29/17_Officers Club_EnvironmentaldsRNAvirus-WuhanMosquitoVirus8-ImjinRiver_Acinobacter_Trichinella_FarmAnimals_Homo?
CMS_006_RNA_A_S1,,2018-02-06 17:57:49 -0800,11395.0,COMPLETE,58468534,614932,1.052,79.189,1.46,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS_007_RNA_A_S12,,2018-03-25 21:38:10 -0700,6079.0,COMPLETE,20334238,56416,0.277,70.392,1.09,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_Trypanosome_Homo?
CMS_008_RNA_A_S3,,2018-04-15 09:23:02 -0700,10590.0,COMPLETE,39977532,301760,0.755,82.414,3.56,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills_
CMS_009_RNA_A_S13,,2018-03-26 17:39:09 -0700,9072.0,COMPLETE,62306790,837918,1.345,88.943,2.28,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex particepts_09/19/17_Coyotes Hills
CMS_010_RNA_A_S1,,2018-04-19 14:22:25 -0700,3857.0,COMPLETE,10956312,36572,0.334,63.824,1.33,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/19/17_Coyotes Hills_
CMS_011_RNA_A_S4,,2018-04-15 09:23:02 -0700,12876.0,COMPLETE,46367004,252792,0.545,79.764,2.14,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS_012_RNA_A_S4,,2018-03-25 21:38:10 -0700,6288.0,COMPLETE,29359278,251436,0.856,88.424,2.41,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex dorsalis_09/19/17_Coyotes Hills_Orbivirus
